"","insurer","coverage","period.x","yearmonth.x","rank.x","proportion.x","period.y","yearmonth.y","rank.y","proportion.y","var_prop"
"1","AXA","Formule Optimum","Y17W46","Y17M11",3,9,"Y18W11","Y18M03",2,8,-0.1
"2","AXA","Minimum","Y17W46","Y17M11",2,20,"Y18W11","Y18M03",1,18,-0.1
"3","Cardif","Formule Optimum","Y17W46","Y17M11",2,24,"Y18W11","Y18M03",2,20,-0.2
"4","Cardif","Minimum","Y17W46","Y17M11",3,15,"Y18W11","Y18M03",2,14,-0.1
"5","Groupe AVIVA","Formule Optimum","Y17W46","Y17M11",3,12,"Y18W11","Y18M03",3,15,0.2
"6","Groupe AVIVA","Minimum","Y17W46","Y17M11",1,15,"Y18W11","Y18M03",2,16,0.1
"7","Groupe AXA","Formule Optimum","Y17W46","Y17M11",1,37,"Y18W11","Y18M03",1,38,0
"8","Groupe AXA","Minimum","Y17W46","Y17M11",1,34,"Y18W11","Y18M03",1,35,0
"9","MAAF Assurances","Formule Optimum","Y17W46","Y17M11",3,17,"Y18W11","Y18M03",3,19,0.1
"10","MAAF Assurances","Minimum","Y17W46","Y17M11",2,16,"Y18W11","Y18M03",3,16,0
