"","insurer","coverage","period.x","yearmonth.x","rank.x","proportion.x","period.y","yearmonth.y","rank.y","proportion.y","var_prop"
"1","AFI-ESCA","Formule Optimum","Y17W46","Y17M11",1,1,"Y18W11","Y18M03",1,2,1
"2","AFI-ESCA","Minimum","Y17W46","Y17M11",1,1,"Y18W11","Y18M03",1,2,1
"3","AsCourtage","Formule Optimum","Y17W46","Y17M11",1,29,"Y18W11","Y18M03",1,29,0
"4","AsCourtage","Minimum","Y17W46","Y17M11",1,87,"Y18W11","Y18M03",1,86,0
"5","AXA","Minimum","Y17W46","Y17M11",1,0,"Y18W11","Y18M03",1,0,NA
"6","CSF Assurances","Minimum","Y17W46","Y17M11",1,0,"Y18W11","Y18M03",1,0,NA
"7","Groupe AVIVA","Formule Optimum","Y17W46","Y17M11",1,0,"Y18W11","Y18M03",1,3,Inf
"8","Groupe AXA","Formule Optimum","Y17W46","Y17M11",1,55,"Y18W11","Y18M03",1,30,-0.5
"9","Groupe AXA","Minimum","Y17W46","Y17M11",1,4,"Y18W11","Y18M03",1,0,-1
"10","HODEVA","Formule Optimum","Y17W46","Y17M11",1,12,"Y18W11","Y18M03",1,22,0.8
"11","HODEVA","Minimum","Y17W46","Y17M11",1,7,"Y18W11","Y18M03",1,8,0.1
"12","SIMPL'ASSUR","Formule Optimum","Y17W46","Y17M11",1,2,"Y18W11","Y18M03",1,2,0
"13","SIMPL'ASSUR","Minimum","Y17W46","Y17M11",1,0,"Y18W11","Y18M03",1,1,Inf
"14","Zen'up","Formule Optimum","Y17W46","Y17M11",1,1,"Y18W11","Y18M03",1,9,8
"15","Zen'up","Minimum","Y17W46","Y17M11",1,0,"Y18W11","Y18M03",1,3,Inf
